
# ========== clean session started at 2026-03-16 11:21:16 ==========
[2026-03-16 11:21:22] [clean] REMOVED /Library/Logs/DiagnosticReports/.STExtractionService.privileged_2026-02-25-193804_Thomass-MacBook-Pro.diag
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/shutdown_monitor.log (29KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.04.asl (2.4MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.05.asl (2.9MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.07.asl (2.3MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.06.asl (2.1MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.02.asl (2.5MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/powermanagement/2026.03.03.asl (2.6MB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2026.10.31.G80.asl (12KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2026.09.30.G80.asl (16KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2027.02.28.G80.asl (78KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2026.10.30.G80.asl (16KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2026.12.31.G80.asl (61KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2026.11.30.G80.asl (111KB)
[2026-03-16 11:21:23] [clean] REMOVED /private/var/log/asl/BB.2027.01.31.G80.asl (70KB)
[2026-03-16 11:21:25] [clean] REMOVED /private/var/folders/y3/cll3lcq92g70__l8rc0nj9t80000gn/X/net.imput.helium.code_sign_clone
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/shutdown.0.log (111KB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/logd_helper.1.log (1.1MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c50.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c40.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b7e.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b91.tracev3 (2.1MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b81.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bb5.tracev3 (1.4MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bc5.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c32.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bf8.tracev3 (2.1MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c3b.tracev3 (2.1MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bbe.tracev3 (2.0MB)
[2026-03-16 11:21:29] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b9a.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c59.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bac.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c04.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003ba3.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c66.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c1e.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b99.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c58.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003ba2.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c05.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c15.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c67.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b7d.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b80.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b90.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c41.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c51.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c33.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bbd.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c3c.tracev3 (2.0MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c5a.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c28.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bfb.tracev3 (2.1MB)
[2026-03-16 11:21:30] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c65.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c07.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bc6.tracev3 (2.1MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b92.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b82.tracev3 (2.1MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b7f.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c53.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c4c.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b9b.tracev3 (98KB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c3a.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003a87.tracev3 (721KB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bb7.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c52.tracev3 (2.1MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b83.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003baa.tracev3 (1.3MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c1f.tracev3 (2.1MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bfc.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c64.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c06.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003ba1.tracev3 (2.1MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bf6.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c61.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003ba4.tracev3 (2.0MB)
[2026-03-16 11:21:31] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c1c.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003be9.tracev3 (2.1MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bff.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c3e.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bbb.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bb2.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c25.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b96.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c4f.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bbc.tracev3 (2.1MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c3d.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c24.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c34.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bc3.tracev3 (2.1MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b7c.tracev3 (2.1MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b97.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c46.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c56.tracev3 (2.1MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c60.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bf7.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bd8.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bba.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bca.tracev3 (2.0MB)
[2026-03-16 11:21:32] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c4d.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c09.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b95.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c54.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c44.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c36.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c26.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c00.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c62.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bfe.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003a88.tracev3 (127KB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bc8.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c01.tracev3 (2.0MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c63.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003a89.tracev3 (786KB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bc9.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bfd.tracev3 (2.1MB)
[2026-03-16 11:21:33] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003baf.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003b8d.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c08.tracev3 (2.1MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c4e.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c45.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c55.tracev3 (2.1MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003bb0.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/Special/0000000000003c27.tracev3 (2.0MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/diagnosticd.0.log (16KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000073.timesync (12KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000072.timesync (12KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000006f.timesync (8KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000074.timesync (8KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000070.timesync (4KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000071.timesync (4KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000006e.timesync (8KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000006d.timesync (16KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/diagnostics/roles.plist (4KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSTaskingDataModel.sqlite (41KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSCKConfigModel.sqlite (25KB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/DiagnosticPipeline/Logs/submitLog967F67C4-7181-4E7D-9045-6A34A7B11C05_Powerlog_02C7D2F9-C299-4BA9-9418-15C2AE7880B1.tar.gz (14.2MB)
[2026-03-16 11:21:34] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSDataModel.sqlite (115KB)
